時系列番号,前後不一致箇所,レアケース,エラー箇所,出現回数,ペイロードid,元ペイロード,,,
0,0,0,0,1,2,  verbose 1 main instance,,,479
1,0,0,0,3,3,  verbose 1 M,,,
2,0,0,0,2,4,  verbose 1 r M,,,
3,0,0,0,39,5,  verbose 4 M,,,
4,0,0,0,3,6,  verbose 4 r M,,,
5,0,0,0,3,3,  verbose 1 M,,,
6,0,0,0,1,7,  verbose 1 main dbus connect done,,,
7,1,-2,0,1,8,  verbose 1 CScheduler created scheduler,,,
8,1,-2,0,6,9,  verbose 1 main,,,
9,0,0,0,3,3,  verbose 1 M,,,
10,0,0,0,2,4,  verbose 1 r M,,,
11,0,0,0,7,1,  verbose 1 registerDltContext Initialized logging,,,
12,0,0,0,7,1,  verbose 1 registerDltContext Initialized logging,,,
13,0,0,0,7,1,  verbose 1 registerDltContext Initialized logging,,,
14,0,0,0,6,9,  verbose 1 main,,,
15,0,0,0,6,9,  verbose 1 main,,,
16,0,0,0,6,9,  verbose 1 main,,,
17,0,0,0,6,9,  verbose 1 main,,,
18,0,0,0,6,9,  verbose 1 main,,,
19,0,0,0,1,10,  verbose 1 initVmostDispatcher,,,
20,1,-2,0,1,11,  verbose 1 Connected to VMost daemon,,,
21,1,-3,0,1,12,  verbose 1 VMOSTDispatcher connect Thread ID,,,
22,1,-3,0,1,13,  verbose 1 init System language set to,,,
23,1,-3,0,1,14,  verbose 1 loadModules loading all extern libraries,,,
24,1,-3,0,1,15,  verbose 1 loadModules Created Content manager start,,,
25,1,-3,0,1,16,  verbose 1 createContentManage createContentManager,,,
26,1,-3,0,1,17,  verbose 1 loadModules Created Content manager end gContentManager,,,
27,1,-3,0,1,18,  verbose 1 createMediaPlayer createMediaPlayer,,,
28,1,-2,0,5,19,  verbose 1 WorkerThreadFunc waiting for command,,,
29,1,-2,0,1,20,  verbose 1 WatcherThread,,,
30,1,-2,0,1,21,  verbose 1 loadModules Created Multimedia player,,,
31,1,-3,0,1,22,  verbose 1 setInstanceID mcm setInstanceID instanceID,,,
32,1,-3,0,1,23,  verbose 1 loadModules mcm initialize,,,
33,1,-3,0,1,24,  verbose 1 initialize Player,,,
